客户姓名/公司名,行业类型,公司规模,年营业额（万元）,潜在价值评分（1-10）,互动程度（1-10）,紧急程度（1-10）,备注/关键信息
腾讯科技,tech,enterprise,50000,9,8,7,大型科技公司，有多个业务部门
平安保险,finance,enterprise,30000,8,7,8,金融行业巨头，数字化转型需求强
华大基因,healthcare,large,8000,9,6,6,生物科技领域领先企业
小米生态链,tech,large,12000,7,8,7,智能硬件生态链企业
本地连锁超市,retail,medium,2000,6,5,4,传统零售企业，数字化转型需求
新创科技公司,tech,small,500,7,6,8,初创企业，需要技术解决方案
教育培训机构,education,medium,1500,6,7,6,K12教育机构，需要管理系统
房地产开发商,realestate,large,80000,8,5,9,大型开发商，有多个在建项目
医疗设备公司,healthcare,medium,3000,8,7,7,专业医疗设备供应商
互联网金融,finance,small,1200,7,6,7,互联网金融平台，风控系统需求